rentfaster_id,city,province,address,latitude,longitude,lease_term,type,price,beds,baths,sq_feet
319503,Airdrie,Alberta,152 Windford Gardens Southwest,51.2537716,-114.0305299,Long Term,Townhouse,2200.0,3,1,1300.0
530757,Airdrie,Alberta,323 Windbury Rd SW,51.2496146,-114.030942,Long Term,Townhouse,2500.0,3,2,1458.0
527120,Airdrie,Alberta,831 Windbury Place SW,51.249266,-114.0303033,Long Term,Townhouse,2300.0,2,2,1265.0
571239,Airdrie,Alberta,Windbury Cres,51.250055267921,-114.034777569312,Long Term,Townhouse,2400.0,2,2,1500.0
329450,Airdrie,Alberta,12 Windford Link,51.2523335,-114.0253997,1 year,Townhouse,1995.0,2,1,1100.0
571152,Airdrie,Alberta,19 Osborne Park Southwest,51.253532716265,-114.031680869312,Short Term,House,5500.0,3,2,2200.0
569484,Airdrie,Alberta,100 Chinook Winds Pl SW,51.2702975,-114.0298864,Long Term,Condo Unit,2095.0,2,2,960.0
36115,Airdrie,Alberta,105 Railway Ave SW,51.289525097678,-114.020054834918,Long Term,Apartment,1800.0,2,2,907.0
36115,Airdrie,Alberta,105 Railway Ave SW,51.289525097678,-114.020054834918,Long Term,Loft,1850.0,1,2,1079.0
36115,Airdrie,Alberta,105 Railway Ave SW,51.289525097678,-114.020054834918,Long Term,Apartment,1600.0,1,1,648.0
572430,Aldersyde,Alberta,117 Brooks Street,50.6771806,-113.8801201,Long Term,House,1950.0,3,1,1150.0
570626,Balzac,Alberta,376 Lawthorn Way Southeast,51.2578452,-113.9797509,Long Term,Main Floor,2395.0,2,2,1536.0
570741,Beaumont,Alberta,AB-625,53.3378433,-113.4306374,Long Term,House,2000.0,3,2,1477.0
569937,Beaumont,Alberta,3506 66 Street,53.3494512,-113.4366176,Long Term,Basement,1500.0,1,1,700.0
565709,Beaumont,Alberta,7115 46A street,53.353495435856,-113.416777344531,Long Term,House,2195.0,3,2,1700.0
275224,Beaumont,Alberta,5301 Rue Eaglemont,53.3553327,-113.4352133,Short Term,Apartment,1850.0,1,1,596.0
282368,Beaumont,Alberta,6502 60th Ave,53.362737,-113.437809,Long Term,Apartment,1818.0,2,2,938.0
282368,Beaumont,Alberta,6502 60th Ave,53.362737,-113.437809,Long Term,Apartment,1588.0,1,1,576.0
283019,Beaumont,Alberta,6112 65 St,53.363901,-113.438616,Long Term,Townhouse,1998.0,3,1,1236.0
527361,Beaumont,Alberta,5102 30 Avenue,53.341026,-113.417064,Long Term,Townhouse,1965.0,2,2,1300.0
571219,Beaumont,Alberta,6636 46 Avenue,53.3494129,-113.4381854,Long Term,Townhouse,2100.0,3,2,
493997,Beaumont,Alberta,3517 49 Avenue,53.3516784,-113.3931892,Long Term,House,1800.0,3,2,1400.0
448758,Beiseker,Alberta,429 6th Street,51.3824065,-113.5330306,Long Term,Apartment,950.0,1,1,750.0
401518,Beiseker,Alberta,429 6th Street,51.3824065,-113.5330306,Long Term,Apartment,1150.0,2,1,850.0
291646,Bonnyville,Alberta,4502 4508 4510 42nd Street,54.2638813,-110.7230958,Long Term,Apartment,875.0,2,1,0.0
334304,Bonnyville,Alberta,3902 50 Avenue,54.267838,-110.718213,Long Term,Apartment,1035.0,1,1,0.0
334304,Bonnyville,Alberta,3902 50 Avenue,54.267838,-110.718213,Long Term,Apartment,1005.0,2,1,0.0
334304,Bonnyville,Alberta,3902 50 Avenue,54.267838,-110.718213,Long Term,Apartment,1130.0,2,1,772.0
334304,Bonnyville,Alberta,3902 50 Avenue,54.267838,-110.718213,Long Term,Apartment,855.0,0,1,0.0
371998,Bonnyville,Alberta,4507 & 4511 43 St,54.2636987,-110.7242674,Long Term,Apartment,1205.0,2,1,739.0
371998,Bonnyville,Alberta,4507 & 4511 43 St,54.2636987,-110.7242674,Long Term,Apartment,1155.0,2,1,739.0
371998,Bonnyville,Alberta,4507 & 4511 43 St,54.2636987,-110.7242674,Long Term,Apartment,1030.0,2,1,0.0
358088,Bonnyville,Alberta,4518 42 Street,54.264637,-110.723401,Long Term,Apartment,1255.0,2,1,0.0
334302,Bonnyville,Alberta,4701 41 Street,54.265641,-110.719243,Long Term,Apartment,1130.0,2,1,0.0
334302,Bonnyville,Alberta,4701 41 Street,54.265641,-110.719243,Long Term,Apartment,855.0,0,1,0.0
334302,Bonnyville,Alberta,4701 41 Street,54.265641,-110.719243,Long Term,Apartment,1005.0,2,1,0.0
334306,Bonnyville,Alberta,4402 50 Avenue,54.267671,-110.72651,Long Term,Apartment,1130.0,2,1,739.0
371999,Bonnyville,Alberta,4310 50 Avenue,54.267694,-110.7248041,Long Term,Apartment,1155.0,2,1,733.0
352236,Bonnyville,Alberta,4802 53 Street,54.265991,-110.749155,Long Term,Apartment,930.0,0,1,0.0
334307,Bonnyville,Alberta,4116 43 Avenue,54.259881,-110.722482,Long Term,Apartment,1612.0,1,1,0.0
334307,Bonnyville,Alberta,4116 43 Avenue,54.259881,-110.722482,Long Term,Apartment,1650.0,2,1,0.0
334307,Bonnyville,Alberta,4116 43 Avenue,54.259881,-110.722482,Long Term,Apartment,1155.0,2,1,0.0
334305,Bonnyville,Alberta,4102 43 Avenue,54.2599,-110.720814,Long Term,Apartment,1120.0,2,1,830.0
291644,Bonnyville,Alberta,5301A/5301B 37th Street,54.269904485148,-110.71296755505,Long Term,Apartment,1395.0,2,2,948.0
291644,Bonnyville,Alberta,5301A/5301B 37th Street,54.269904485148,-110.71296755505,Long Term,Apartment,1595.0,3,2,1267.0
334109,Brooks,Alberta,608 2nd St W,50.5721888,-111.8970559,Long Term,Apartment,1780.0,2,1,779.0
334301,Brooks,Alberta,1 Queen's Way East,50.583181,-111.893984,Long Term,Townhouse,2090.0,2,1,902.0
334248,Brooks,Alberta,604 8 St W,50.5721986,-111.9106583,Long Term,Apartment,1775.0,2,1,771.0
334113,Brooks,Alberta,236 4th St,50.5681068,-111.9019,Long Term,Apartment,1550.0,1,1,520.0
334113,Brooks,Alberta,236 4th St,50.5681068,-111.9019,Long Term,Apartment,1425.0,1,1,520.0
334174,Brooks,Alberta,524 1A Avenue East,50.5631754,-111.8894753,Long Term,Apartment,1385.0,1,1,560.0
334174,Brooks,Alberta,524 1A Avenue East,50.5631754,-111.8894753,Long Term,Apartment,1625.0,2,1,770.0
334174,Brooks,Alberta,524 1A Avenue East,50.5631754,-111.8894753,Long Term,Apartment,1511.0,1,1,560.0
334175,Brooks,Alberta,404 5 Avenue West,50.57104,-111.899639,Long Term,Apartment,1715.0,2,1,800.0
334175,Brooks,Alberta,404 5 Avenue West,50.57104,-111.899639,Long Term,Apartment,1590.0,2,1,800.0
334175,Brooks,Alberta,404 5 Avenue West,50.57104,-111.899639,Long Term,Apartment,1765.0,2,1,800.0
334175,Brooks,Alberta,404 5 Avenue West,50.57104,-111.899639,Long Term,Apartment,1425.0,1,1,580.0
334126,Brooks,Alberta,11 Greenbrook Drive E,50.5678457,-111.8771813,Long Term,Apartment,1490.0,1,1,510.0
